id,Coursecode,Coursetitle,Subtopic,Question,Answerkey,isObjective
COM423-1,COM 423,Expert systems and Machine Learning,Definition of machine learning,___ is any process by which a system improves performance from experience (A) Artificial Intelligence  (B) Expert system (C) Machine learning (D) Robotics,C,1
COM423-2,COM 423,Expert systems and Machine Learning,Definition of machine learning,Who defines machine learning as any process by which a system improves performance from experience? (A) Tom Mitchell (B) Herbert Simon (C) John Herbert (D) Tom Dietterich,B,1
COM423-3,COM 423,Expert systems and Machine Learning,Definition of machine learning,"According to ___ ,  machine learning is the study of algorithms that improve their performance at some task with experience (A) Tom Mitchell (B) Herbert Simon (C) John Herbert (D)Simon Mitchell",A,1
COM423-4,COM 423,Expert systems and Machine Learning,Definition of machine learning,"A well defined task si given by (A) <P, T, E> (B) <P, T, E< (C) >P, T, E> (D)<P, E, T>",A,1
COM423-5,COM 423,Expert systems and Machine Learning,Definition of machine learning,"According to ___, the goal of machine learning is to build computer systems that can adapt and learn from their experience (A) Tom Mitchell (B) Herbert Simon (C) John Herbert (D) Tom Dietterich",D,1
COM423-6,COM 423,Expert systems and Machine Learning,Definition of machine learning,machine learnig algorithms discover the relationship between the following variables of a system except (A) Input (B) Process (C) Output (D) Hidden,B,1
COM423-7,COM 423,Expert systems and Machine Learning,Definition of machine learning,Machine learning is (A) an entity that is capable of perceiving and do action (B) a software agent (C) any process by which a system improve its performance by experience (D) a science of making computers do things that require intelligence,C,1
COM423-8,COM 423,Expert systems and Machine Learning,Definition of machine learning,Expert System is (A) an entity that is capable of perceiving and do action (B) a software agent (C) any process by which a system improve its performance by experience (D) an interactive computer based  decision tool that uses both facts and heuristics to solve problem,D,1
COM423-9,COM 423,Expert systems and Machine Learning,Definition of machine learning,Expert System is (A) a subset of Machine learning that mimics the working of the human brain (B) a software agent (C) any process by which a system improve its performance by experience (D) an interactive computer based  decision tool that uses both facts and heuristics to solve problem,A,1
COM423-10,COM 423,Expert systems and Machine Learning,Definition of machine learning,All except one of these are programming languages used by Artificial Intelligence (A) Python (B) Cobol (C) Prolog (D) R,C,1
COM423-11,COM 423,Expert systems and Machine Learning,Definition of machine learning,Learning by memorization is called (A) Rote learning (B) Inclusion (C) Clustering (D) Analogy,A,1
COM423-12,COM 423,Expert systems and Machine Learning,Definition of machine learning,Discovering similar group is what type of learning (A) Supervised (B) Unsupervised (C) Deep learning (D) Reinforcement learning,B,1
COM423-13,COM 423,Expert systems and Machine Learning,Definition of machine learning,Decision tree algorithm is an example of what type of machine learning  (A) Supervised (B) Unsupervised (C) Deep learning (D) Reinforcement learning,A,1
COM423-14,COM 423,Expert systems and Machine Learning,Definition of machine learning,A knowledge representation language is expected to meet the following requirements except (A) inferential adequacy (B) inquisitional efficiency (C) inferenctial adequacy (D) representational adequacy ,C,1
COM423-15,COM 423,Expert systems and Machine Learning,Definition of machine learning,"Relational knowledge is best described by one of the following (A) Is obtained from associated objects (B) Provides a framework to compare two objects based on equivalent attributes. (C) Is referred from objects through relations among objects (D) A statement in which knowledge is specified, but the use to which that knowledge is to be put is not given.",B,1
COM423-16,COM 423,Expert systems and Machine Learning,Machine learning paradigms,How many types does machine learning have (A) 2 (B) 3 (C) 4 (D) 5,B,1
COM423-17,COM 423,Expert systems and Machine Learning,Machine learning paradigms,The types of machine learning include all except (A) Supervised learning (B) Unsupervised learning (C) Reinforcement learning (D) Assisted learning,D,1
COM423-18,COM 423,Expert systems and Machine Learning,Machine learning paradigms,How many categories does supervised learning have (A) 2 (B) 3 (C) 4 (D) 5,A,1
