id,Coursecode,Coursetitle,Subtopic,Question,Answerkey,isObjective
GNS425-1,GNS425,Law of Contract,Definition of law of contract,A contract is what kind of agreement? (A) Dictated (B) Signed (C) Legally enforceable  (D) Mandatory,C,1
GNS425-2,GNS425,Law of Contract,Definition of law of contract,What kind of agreement is legally enforceable in court? (A) Document (B) Contract (C) Signed Document (D) Written docuemnt,B,1
GNS425-3,GNS425,Law of Contract,Definition of law of contract,What kind of agreement gives rise to legally enforceable obligations? (A) Document (B) Signed docuemnt (C) Written document (D) Contract,D,1
GNS425-4,GNS425,Law of Contract,Classification,Wich of the following is not a classification of a contract? (A) Formal (B) Simple (C) Express (D) Basic,D,1
GNS425-5,GNS425,Law of Contract,Classification,A formal contract is also known as ___ contract(A) Speciality (B) Simple (C) Express (D) Basic,A,1
GNS425-6,GNS425,Law of Contract,Classification,Another name for a formal contract is (A) Implied (B) A contract under seal (C) Express (D) Basic,B,1
GNS425-7,GNS425,Law of Contract,Classification,A ___ contract is a contract made by deed (A) Formal  (B) A contract under seal (C) Express (D) Basic,A,1
GNS425-8,GNS425,Law of Contract,Classification,What is the name of a contract that is not made by deed? (A) Formal (B) Simple (C) Unilateral (D) Multilateral,B,1
GNS425-9,GNS425,Law of Contract,Classification,What is the name of a contract that has all the terms clearly stated and agreed upon? (A) Implied (B) A contract under seal (C) Express (D) Unilateral,C,1
GNS425-10,GNS425,Law of Contract,Classification,What kind of contract has all the materials terms spelled out? (A) Express (B) A contract under seal (C) Implied (D) Bilateral,A,1
GNS425-11,GNS425,Law of Contract,Classification,A ___ contract is a contract that does not have all it's terms expressly stated (A) Implied (B) A contract under seal (C) Express (D) Basic,A,1
GNS425-12,GNS425,Law of Contract,Classification,How many years is the limitation period for a specialty contract? (A) 6 (B) 14 (C) 16 (D) 12,D,1
GNS425-13,GNS425,Law of Contract,Classification,How many years is the limitation period for a simple contract? (A) 6 (B) 14 (C) 16 (D) 13,A,1
GNS425-14,GNS425,Law of Contract,Classification,A ___ contract involves one party promising to do something in exchange for the promise of the other party. (A) Express (B) Unilateral (C) Implied (D) Bilateral,D,1
GNS425-15,GNS425,Law of Contract,Classification,A ___ contract imposes an obligation only on the promisor (A) Express (B) Unilateral (C) Implied (D) Bilateral,B,1
GNS425-16,GNS425,Law of Contract,Classification,What kind of contract absolves a promisee from any obligation to the promisor in return for a promise? (A) Express (B) Unilateral (C) Implied (D) Bilateral,B,1
